    1.7514	    1.4883     0.3494
    1.7513	    1.5779     0.3371
    1.7520	    1.6670     0.3301
    1.7518	    1.7557     0.3140
    1.7535	    0.6792     0.2986
    1.7558	    0.4962     0.2689
    1.7551	    0.5877     0.2628
    1.7568	    0.4048     0.2477
    1.8068	    0.9976     0.3317
    1.8087	    0.9086     0.3111
    1.8075	    1.0880     0.3361
    1.8074	    1.1772     0.3526
    1.8089	    1.2662     0.3537
    1.8113	    0.7267     0.2929
    1.8108	    0.8189     0.3122
    1.8106	    1.3543     0.3554
    1.8113	    1.7125     0.3045
    1.8126	    0.6362     0.2794
    1.8116	    1.4442     0.3633
    1.8120	    1.5328     0.3358
    1.8114	    1.6226     0.3211
