    0.9411	        1.3327		    0.4107
    0.9395	        0.3180		    0.3119
    0.9428	        1.4452		    0.3819
    0.9447	        1.5564		    0.3590
    0.9469	        1.6642		    0.3258
    0.9492	        1.7732		    0.3004
    0.9514	        1.8813		    0.3075
    0.9942	        0.2100		    0.3012
    0.9939	        0.3187		    0.3245
    0.9944	        0.4278		    0.3506
    0.9947	        0.5381		    0.3767
    0.9944	        0.6494		    0.4014
    0.9946	        0.7620		    0.4209
    0.9949	        0.8757		    0.4428
    0.9949	        0.9898		    0.4547
    0.9961	        1.1045		    0.4463
    0.9964	        1.2187		    0.4321
    0.9981	        1.3319		    0.4170
    0.9989	        1.4442		    0.3844
    0.9998	        1.5548		    0.3541
    1.0013	        1.6642		    0.3280
    1.0046	        1.7731		    0.3145
    1.0062	        1.8816		    0.3312
    0.9952	        0.9323		    0.4507
    0.9944	        0.7053		    0.4080
    0.9948	        0.8187		    0.4294
    0.9958	        1.0469		    0.4505
    0.9939	        0.3730		    0.3319
    0.9940	        0.4829		    0.3525
    0.9943	        0.5930		    0.3814
    0.9966	        1.1615		    0.4420
    0.9974	        1.2753		    0.4210
    0.9942	        0.2641		    0.3057
    0.9982	        1.3880		    0.3964
    0.9995	        1.4993		    0.3584
    1.0009	        1.6092		    0.3353
    1.0027	        1.7184		    0.3180
    1.0049	        1.8270		    0.3119
    1.0484	        0.2647		    0.3151
    1.0489	        0.3732		    0.3399
    1.0501	        0.4827		    0.3647
    1.0507	        0.5933		    0.3913
    1.0515	        0.7050		    0.4155
    1.0525	        0.8181		    0.4394
    1.0533	        0.9318		    0.4586
    1.0539	        1.0463		    0.4617
    1.0544	        1.1607		    0.4461
    1.0543	        1.2743		    0.4248
    1.0548	        1.3871		    0.3987
    1.0551	        1.4985		    0.3692
    1.0563	        1.6088		    0.3371
    1.0568	        1.7178		    0.3131
    1.0583	        1.8258		    0.3018
    1.0487	        0.2096		    0.3086
    1.0486	        0.3183		    0.3218
    1.0492	        0.4278		    0.3472
    1.0501	        0.5381		    0.3714
    1.0510	        0.6483		    0.4027
    1.0518	        0.7608		    0.4280
    1.0528	        0.8747		    0.4465
    1.0536	        0.9888		    0.4578
    1.0541	        1.1034		    0.4537
    1.0546	        1.2180		    0.4358
    1.0549	        1.3309		    0.4114
    1.0554	        1.4433		    0.3839
    1.0560	        1.5538		    0.3519
    1.0570	        1.6630		    0.3217
    1.0581	        1.7722		    0.3063
    1.0607	        1.8796		    0.2927
    1.1028	        0.2095		    0.3162
    1.1033	        0.3179		    0.3232
    1.1045	        0.4268		    0.3427
    1.1056	        0.5372		    0.3690
    1.1082	        0.6483		    0.4008
    1.1095	        0.7609		    0.4250
    1.1111	        0.8746		    0.4479
    1.1120	        1.3311		    0.4089
    1.1118	        1.4434		    0.3769
    1.1119	        1.5540		    0.3465
    1.1120	        1.6633		    0.3157
    1.1121	        0.9889		    0.4570
    1.1123	        1.1036		    0.4527
    1.1122	        1.2178		    0.4330
    1.1147	        1.8786		    0.2619
    1.1141	        1.7715		    0.2995
    1.1034	        0.2638		    0.3122
    1.1043	        0.3726		    0.3236
    1.1056	        0.4819		    0.3524
    1.1071	        0.5922		    0.3804
    1.1087	        0.7039		    0.4068
    1.1103	        0.8178		    0.4357
    1.1116	        0.9313		    0.4554
    1.1124	        1.0458		    0.4545
    1.1127	        1.1606		    0.4439
    1.1124	        1.2743		    0.4208
    1.1122	        1.3881		    0.3902
    1.1118	        1.4987		    0.3612
    1.1118	        1.6083		    0.3278
    1.1123	        1.7175		    0.3013
    1.1141	        1.8248		    0.2790
    1.1574	        0.2634		    0.3167
    1.1588	        0.3720		    0.3310
    1.1613	        0.4814		    0.3566
    1.1632	        0.5921		    0.3824
    1.1651	        0.7039		    0.4104
    1.1667	        1.7171		    0.2974
    1.1675	        1.4989		    0.3587
    1.1669	        1.6087		    0.3302
    1.1692	        1.8241		    0.2713
    1.1673	        0.8172		    0.4368
    1.1687	        1.3876		    0.3916
    1.1691	        0.9313		    0.4524
    1.1699	        1.2747		    0.4258
    1.1703	        1.0462		    0.4626
    1.1703	        1.1609		    0.4491
    1.1575	        0.2086		    0.3117
    1.1583	        0.3175		    0.3130
    1.1598	        0.4262		    0.3371
    1.1619	        0.5363		    0.3594
    1.1642	        0.6471		    0.3957
    1.1665	        0.7596		    0.4228
    1.1685	        0.8738		    0.4496
    1.1699	        0.9884		    0.4625
    1.1703	        1.1030		    0.4607
    1.1699	        1.2178		    0.4398
    1.1669	        1.5538		    0.3417
    1.1691	        1.3311		    0.4081
    1.1681	        1.4435		    0.3735
    1.1665	        1.6629		    0.3123
    1.1670	        1.7708		    0.2798
    1.1689	        1.8765		    0.2562
    1.2121	        0.2081		    0.3112
